airline,source_airport,departure_airport_name,departure_city,departure_country,dest_airport,arrival_airport_name,arrival_city,arrival_country,equipment
5J,CEB,Mactan Cebu International Airport,Cebu,Philippines,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,320
5J,CEB,Mactan Cebu International Airport,Cebu,Philippines,ICN,Incheon International Airport,Seoul,South Korea,320
5J,CEB,Mactan Cebu International Airport,Cebu,Philippines,PUS,Gimhae International Airport,Busan,South Korea,320
5J,CEB,Mactan Cebu International Airport,Cebu,Philippines,SIN,Singapore Changi Airport,Singapore,Singapore,320
5J,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,MNL,Ninoy Aquino International Airport,Manila,Philippines,320
5J,CRK,Diosdado Macapagal International Airport,Angeles City,Philippines,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,319
5J,CRK,Diosdado Macapagal International Airport,Angeles City,Philippines,MFM,Macau International Airport,Macau,Macau,319
5J,CRK,Diosdado Macapagal International Airport,Angeles City,Philippines,SIN,Singapore Changi Airport,Singapore,Singapore,319
5J,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,MNL,Ninoy Aquino International Airport,Manila,Philippines,320
5J,DXB,Dubai International Airport,Dubai,United Arab Emirates,MNL,Ninoy Aquino International Airport,Manila,Philippines,330
5J,HAN,Noi Bai International Airport,Hanoi,Vietnam,MNL,Ninoy Aquino International Airport,Manila,Philippines,319
5J,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,CEB,Mactan Cebu International Airport,Cebu,Philippines,320
5J,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,CRK,Diosdado Macapagal International Airport,Angeles City,Philippines,319
5J,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,ILO,Iloilo International Airport,Iloilo,Philippines,319
5J,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,MNL,Ninoy Aquino International Airport,Manila,Philippines,320
5J,HKT,Phuket International Airport,Phuket,Thailand,MNL,Ninoy Aquino International Airport,Manila,Philippines,320
5J,ICN,Incheon International Airport,Seoul,South Korea,CEB,Mactan Cebu International Airport,Cebu,Philippines,320
5J,ICN,Incheon International Airport,Seoul,South Korea,KLO,Kalibo International Airport,Kalibo,Philippines,320
5J,ICN,Incheon International Airport,Seoul,South Korea,MNL,Ninoy Aquino International Airport,Manila,Philippines,330
5J,ILO,Iloilo International Airport,Iloilo,Philippines,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,319
5J,ILO,Iloilo International Airport,Iloilo,Philippines,SIN,Singapore Changi Airport,Singapore,Singapore,319
5J,KIX,Kansai International Airport,Osaka,Japan,MNL,Ninoy Aquino International Airport,Manila,Philippines,320
5J,KLO,Kalibo International Airport,Kalibo,Philippines,ICN,Incheon International Airport,Seoul,South Korea,320
5J,KUL,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,MNL,Ninoy Aquino International Airport,Manila,Philippines,320
5J,MFM,Macau International Airport,Macau,Macau,CRK,Diosdado Macapagal International Airport,Angeles City,Philippines,319
5J,MFM,Macau International Airport,Macau,Macau,MNL,Ninoy Aquino International Airport,Manila,Philippines,319
